years,Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
ThuFeb 1,12:30am,AUD,Medium Impact Expected,Commodity Prices y/y,10.10%,,11.20%,
ThuFeb 1,2:15am,CHF,Medium Impact Expected,Trade Balance,0.43B,1.00B,1.23B,
ThuFeb 1,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,56.2,,57.2,
ThuFeb 1,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,62,64.7,65,
ThuFeb 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,53.5,54.6,55,
ThuFeb 1,4:00am,EUR,Medium Impact Expected,Final Manufacturing PMI,55.5,56.3,56.5,
ThuFeb 1,4:30am,GBP,Medium Impact Expected,Final Manufacturing PMI,52.8,51.9,52,
ThuFeb 1,5:00am,EUR,Low Impact Expected,French 10-y Bond Auction,4.12|2.8,,3.97|2.4,
ThuFeb 1,7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-39.10%,,-49.30%,
ThuFeb 1,8:30am,USD,High Impact Expected,Core PCE Price Index m/m,0.10%,0.20%,0.00%,
ThuFeb 1,8:30am,USD,Medium Impact Expected,Personal Spending m/m,0.70%,0.70%,0.50%,
ThuFeb 1,8:30am,USD,Low Impact Expected,Personal Income m/m,0.50%,0.50%,0.30%,
ThuFeb 1,8:30am,USD,Low Impact Expected,Unemployment Claims,307K,315K,327K,
ThuFeb 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,49.3,51.6,51.4,
ThuFeb 1,10:00am,USD,High Impact Expected,Pending Home Sales m/m,4.90%,2.20%,-0.30%,
ThuFeb 1,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,53,47.2,47.5,
ThuFeb 1,10:30am,USD,Low Impact Expected,Natural Gas Storage,-186B,-201B,-179B,
ThuFeb 1,All Day,USD,Low Impact Expected,Total Vehicle Sales,16.6M,16.6M,16.7M,
ThuFeb 1,11:30am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,,
ThuFeb 1,4:45pm,NZD,Low Impact Expected,Visitor Arrivals m/m,-1.30%,,0.50%,
ThuFeb 1,6:50pm,JPY,Low Impact Expected,Monetary Base y/y,-21.10%,-20.00%,-20.00%,
ThuFeb 1,7:30pm,AUD,Medium Impact Expected,Trade Balance,-1.34B,-1.05B,-0.9,
FriFeb 2,3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,59.6K,,-0.3K,
FriFeb 2,4:00am,CHF,Medium Impact Expected,SNB Chairman Roth Speaks,,,,
FriFeb 2,4:30am,GBP,Low Impact Expected,Construction PMI,57.9,57,57.5,
FriFeb 2,5:00am,EUR,Low Impact Expected,PPI m/m,0.00%,0.00%,0.00%,
FriFeb 2,8:30am,USD,High Impact Expected,Non-Farm Employment Change,111K,146K,206K,
FriFeb 2,8:30am,USD,High Impact Expected,Unemployment Rate,4.60%,4.50%,4.50%,
FriFeb 2,8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.20%,0.40%,0.40%,
