Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
MonMar 1,12:30am,AUD,Low Impact Expected,Commodity Prices y/y,23.90%,,19.50%
MonMar 1,All Day,EUR,Low Impact Expected,German Prelim CPI m/m,0.70%,0.50%,0.80%
MonMar 1,2:30am,CHF,Low Impact Expected,Retail Sales y/y,-0.50%,4.50%,5.40%
MonMar 1,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,52.9,52.1,49.3
MonMar 1,3:30am,CHF,Low Impact Expected,Manufacturing PMI,61.3,60,59.4
MonMar 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,56.9,57,55.1
MonMar 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,56.1,55,55
MonMar 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,60.7,60.6,60.6
MonMar 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,57.9,57.7,57.7
MonMar 1,4:30am,GBP,Medium Impact Expected,Final Manufacturing PMI,55.1,54.9,54.9
MonMar 1,4:30am,GBP,Low Impact Expected,M4 Money Supply m/m,0.70%,0.80%,0.60%
MonMar 1,4:30am,GBP,Low Impact Expected,Mortgage Approvals,99K,100K,103K
MonMar 1,4:32am,GBP,Low Impact Expected,Net Lending to Individuals m/m,2.8B,3.3B,4.5B
MonMar 1,5:00am,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.10%,0.40%,0.70%
MonMar 1,8:30am,CAD,Low Impact Expected,Current Account,-7.3B,-7.0B,-10.5B
MonMar 1,9:00am,USD,Low Impact Expected,FOMC Member Williams Speaks,,,
MonMar 1,9:05am,USD,Low Impact Expected,FOMC Member Brainard Speaks,,,
MonMar 1,9:30am,CAD,Medium Impact Expected,Manufacturing PMI,54.8,,54.4
MonMar 1,9:45am,USD,Medium Impact Expected,Final Manufacturing PMI,58.6,58.5,58.5
MonMar 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,60.8,58.7,58.7
MonMar 1,10:00am,USD,Low Impact Expected,Construction Spending m/m,1.70%,0.70%,1.10%
MonMar 1,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,86,80,82.1
MonMar 1,11:10am,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,
MonMar 1,4:45pm,NZD,Low Impact Expected,Overseas Trade Index q/q,1.30%,0.90%,-4.70%
MonMar 1,6:30pm,JPY,Low Impact Expected,Unemployment Rate,2.90%,3.00%,2.90%
MonMar 1,6:50pm,JPY,Low Impact Expected,Capital Spending q/y,-4.80%,-2.00%,-10.60%
MonMar 1,6:50pm,JPY,Low Impact Expected,Monetary Base y/y,19.60%,20.10%,18.90%
MonMar 1,7:30pm,AUD,Low Impact Expected,Building Approvals m/m,-19.40%,-2.10%,12.00%
MonMar 1,7:30pm,AUD,Low Impact Expected,Current Account,14.5B,13.0B,10.7B
MonMar 1,10:30pm,AUD,High Impact Expected,RBA Rate Statement,,,
MonMar 1,10:30pm,AUD,Medium Impact Expected,Cash Rate,0.10%,0.10%,0.10%
MonMar 1,10:35pm,JPY,Low Impact Expected,10-y Bond Auction,0.13|3.1,,0.05|3.4
TueMar 2,2:00am,EUR,Low Impact Expected,German Retail Sales m/m,-4.50%,0.20%,-9.10%
TueMar 2,2:00am,GBP,Low Impact Expected,Nationwide HPI m/m,0.70%,-0.30%,-0.20%
TueMar 2,3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,44.4K,10.5K,76.2K
TueMar 2,3:55am,EUR,Low Impact Expected,German Unemployment Change,9K,-9K,-37K
TueMar 2,5:00am,EUR,Low Impact Expected,CPI Flash Estimate y/y,0.90%,0.90%,0.90%
TueMar 2,5:00am,EUR,Low Impact Expected,Core CPI Flash Estimate y/y,1.10%,1.10%,1.40%
TueMar 2,8:30am,CAD,Medium Impact Expected,GDP m/m,0.10%,0.10%,0.80%
TueMar 2,10:00am,USD,Low Impact Expected,IBD/TIPP Economic Optimism,55.4,52.1,51.9
TueMar 2,10:09am,NZD,Low Impact Expected,GDT Price Index,15.00%,,3.00%
TueMar 2,All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,15.7M,16.4M,16.6M
TueMar 2,1:00pm,USD,Low Impact Expected,FOMC Member Brainard Speaks,,,
TueMar 2,2:00pm,USD,Low Impact Expected,FOMC Member Daly Speaks,,,
TueMar 2,4:30pm,AUD,Low Impact Expected,AIG Construction Index,57.4,,57.6
TueMar 2,4:45pm,NZD,Low Impact Expected,Building Consents m/m,2.10%,,5.10%
TueMar 2,7:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,3.30%,,4.30%
TueMar 2,7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,-2.40%,,-2.20%
TueMar 2,7:30pm,AUD,High Impact Expected,GDP q/q,3.10%,2.50%,3.40%
TueMar 2,8:45pm,CNY,Low Impact Expected,Caixin Services PMI,51.5,51.6,52
WedMar 3,2:30am,CHF,Low Impact Expected,CPI m/m,0.20%,0.40%,0.10%
WedMar 3,2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-21.9B,,-178.1B
WedMar 3,3:15am,EUR,Low Impact Expected,Spanish Services PMI,43.1,43.1,41.7
WedMar 3,3:45am,EUR,Low Impact Expected,Italian Services PMI,48.8,45.8,44.7
WedMar 3,3:50am,EUR,Low Impact Expected,French Final Services PMI,45.6,43.6,43.6
WedMar 3,3:55am,EUR,Low Impact Expected,German Final Services PMI,45.7,45.9,45.9
WedMar 3,4:00am,EUR,Low Impact Expected,Final Services PMI,45.7,44.7,44.7
WedMar 3,4:30am,GBP,Low Impact Expected,Final Services PMI,49.5,49.7,49.7
WedMar 3,5:00am,EUR,Low Impact Expected,PPI m/m,1.40%,1.30%,0.90%
WedMar 3,7:35am,GBP,High Impact Expected,Annual Budget Release,,,
WedMar 3,8:15am,USD,Medium Impact Expected,ADP Non-Farm Employment Change,117K,203K,195K
WedMar 3,8:30am,CAD,Low Impact Expected,Building Permits m/m,8.20%,3.00%,-4.40%
WedMar 3,9:45am,USD,Low Impact Expected,Final Services PMI,59.8,58.9,58.9
WedMar 3,10:00am,USD,Medium Impact Expected,ISM Services PMI,55.3,58.7,58.7
WedMar 3,10:30am,USD,Medium Impact Expected,Crude Oil Inventories,21.6M,-1.3M,1.3M
WedMar 3,11:00am,GBP,Medium Impact Expected,MPC Member Tenreyro Speaks,,,
WedMar 3,1:00pm,USD,Low Impact Expected,FOMC Member Evans Speaks,,,
WedMar 3,2:00pm,USD,Low Impact Expected,Beige Book,,,
WedMar 3,3:15pm,NZD,High Impact Expected,RBNZ Gov Orr Speaks,,,
WedMar 3,7:30pm,AUD,Low Impact Expected,Retail Sales m/m,0.50%,0.60%,0.60%
