id,currency,impact,title,previous,forcast,actual,timeofevent,positive
1,AUD,2,Commodity Prices y/y,11.20,NULL,10.10,2007-02-01 09:00:00,1
2,CHF,2,Trade Balance,1.23,1.00,0.43,2007-01-31 22:45:00,1
3,EUR,1,Spanish Manufacturing PMI,57.2,NULL,56.2,2007-01-31 23:45:00,1
4,CHF,2,Manufacturing PMI,65,64.7,62,2007-02-01 00:00:00,1
5,EUR,1,Italian Manufacturing PMI,55,54.6,53.5,2007-02-01 00:15:00,1
6,EUR,2,Final Manufacturing PMI,56.5,56.3,55.5,2007-02-01 00:30:00,1
7,GBP,2,Final Manufacturing PMI,52,51.9,52.8,2007-02-01 01:00:00,1
8,EUR,1,French 10-y Bond Auction,3.972,NULL,4.122,2007-02-01 01:30:00,0
9,USD,1,Challenger Job Cuts y/y,-49.30,NULL,-39.10,2007-02-01 04:00:00,-1
10,USD,3,Core PCE Price Index m/m,0.00,0.20,0.10,2007-02-01 05:00:00,1
11,USD,3,ISM Manufacturing PMI,51.4,51.6,49.3,2007-02-01 06:30:00,1
12,USD,1,Natural Gas Storage,-179,-201,-186,2007-02-01 07:00:00,-1
13,USD,1,Total Vehicle Sales,16.7,16.6,16.6,2007-02-01 08:30:00,1
14,EUR,2,ECB President Trichet Speaks,NULL,NULL,NULL,2007-02-01 08:00:00,1
15,NZD,1,Visitor Arrivals m/m,0.50,NULL,-1.30,2007-02-01 01:15:00,1
16,JPY,1,Monetary Base y/y,-20.00,-20.00,-21.10,2007-02-01 03:20:00,1
17,AUD,2,Trade Balance,-0.9,-1.05,-1.34,2007-02-01 04:00:00,1
18,EUR,1,Spanish Unemployment Change,-0.3,NULL,59.6,2007-02-01 23:30:00,-1
19,CHF,2,SNB Chairman Roth Speaks,NULL,NULL,NULL,2007-02-02 00:30:00,1
20,GBP,1,Construction PMI,57.5,57,57.9,2007-02-02 01:00:00,1
21,EUR,1,PPI m/m,0.00,0.00,0.00,2007-02-02 01:30:00,1
22,USD,3,Non-Farm Employment Change,206,146,111,2007-02-02 05:00:00,1
23,USD,2,Factory Orders m/m,1.20,1.60,2.40,2007-02-02 06:30:00,1
24,CNY,1,Non-Manufacturing PMI,NULL,NULL,55.6,2007-02-02 04:30:00,1
25,NZD,3,Labor Cost Index q/q,0.80,0.70,1.00,2007-02-04 01:15:00,1
26,AUD,1,AIG Services Index,49.5,NULL,49.5,2007-02-04 02:00:00,1
27,AUD,1,MI Inflation Gauge m/m,0.30,NULL,0.00,2007-02-04 03:00:00,1
28,AUD,3,Building Approvals m/m,3.50,-0.80,-1.90,2007-02-04 04:00:00,1
29,EUR,1,Spanish Services PMI,58.1,NULL,57.9,2007-02-04 23:45:00,1
30,EUR,1,Italian Services PMI,55,54.9,55.4,2007-02-05 00:15:00,1
31,EUR,1,Final Services PMI,57.2,56.8,57.9,2007-02-05 00:30:00,1
32,EUR,1,Sentix Investor Confidence,29.5,30.5,31.1,2007-02-05 01:00:00,1
33,EUR,1,Italian Prelim CPI m/m,0.10,0.10,0.20,2007-02-05 01:30:00,1
34,CAD,3,Ivey PMI,49.4,52,53.8,2007-02-05 06:30:00,1
35,USD,1,Loan Officer Survey,NULL,NULL,NULL,2007-02-04 22:30:00,1
