ID,Currency,Impact,title,Forecast,Previous,Actual,timeofevent,positive
1,CHF,0,Bank Holiday,,,,2007-1-1 All Day,1
2,EUR,0,German Bank Holiday,,,,2007-1-1 All Day,1
3,EUR,0,French Bank Holiday,,,,2007-1-1 All Day,1
4,EUR,0,Italian Bank Holiday,,,,2007-1-1 All Day,1
5,GBP,0,Bank Holiday,,,,2007-1-1 All Day,1
6,CAD,0,Bank Holiday,,,,2007-1-1 All Day,1
7,USD,0,Bank Holiday,,,,2007-1-1 All Day,1
8,NZD,0,Bank Holiday,,,,2007-1-1 All Day,0
9,AUD,1,AIG Manufacturing Index,,54.4,52.4,07/1/1 17:30,-1
10,CNY,0,Bank Holiday,,,,07/1/1 19:00,1
11,JPY,0,Bank Holiday,,,,2007-1-1 All Day,1
12,CNY,2,Caixin Manufacturing PMI,,53,52.4,07/1/1 21:30,-1
13,AUD,2,Commodity Prices y/y,,13.90%,11.00%,07/1/2 0:30,1
14,CHF,0,Bank Holiday,,,,2007-1-2 All Day,1
15,EUR,1,Spanish Manufacturing PMI,,56.1,57.2,07/1/2 3:15,1
16,EUR,1,Italian Manufacturing PMI,55.5,54.8,55,07/1/2 3:45,1
17,EUR,2,Final Manufacturing PMI,56.5,56.6,56.5,07/1/2 4:00,1
18,GBP,2,Final Manufacturing PMI,53,52.5,51.9,07/1/2 4:30,-1
19,JPY,0,Bank Holiday,,,,2007-1-2 All Day,1
20,EUR,1,Spanish Unemployment Change,,30.3K,-0.3K,07/1/3 3:00,1
21,CHF,2,Manufacturing PMI,66,67,65,07/1/3 3:30,1
22,EUR,2,German Unemployment Change,-110K,-90K,-96K,07/1/3 3:55,1
23,GBP,1,Construction PMI,54.5,54.8,57.5,07/1/3 4:30,1
24,EUR,1,German 10-y Bond Auction,,3.72|1.6,3.94|1.8,07/1/3 5:09,1
25,USD,2,ADP Non-Farm Employment Change,120K,230K,-40K,07/1/3 8:15,1
26,USD,3,ISM Manufacturing PMI,51,49.5,51.4,07/1/3 10:00,1
27,USD,1,Total Vehicle Sales,16.5M,16.1M,16.7M,2007-1-3 All Day,1
28,USD,3,FOMC Meeting Minutes,,,,07/1/3 14:00,1
29,NZD,3,Trade Balance,-976M,-1174M,-785M,07/1/3 16:45,1
30,AUD,1,AIG Services Index,,48.5,49.5,07/1/3 17:30,1
31,CHF,3,CPI m/m,0.10%,0.00%,0.00%,07/1/4 1:45,1
32,EUR,1,Spanish Services PMI,,60.4,58.1,07/1/4 3:15,1
33,EUR,1,Italian Services PMI,56.2,56.2,55,07/1/4 3:45,1
34,EUR,1,Final Services PMI,57.5,57.6,57.2,07/1/4 4:00,1
35,GBP,2,Final Services PMI,60,59.8,60.6,07/1/4 4:30,1
36,EUR,1,French 10-y Bond Auction,,3.74|2.4,3.97|2.4,07/1/4 4:55,0
37,EUR,1,CPI Flash Estimate y/y,1.90%,1.90%,1.90%,07/1/4 5:00,1
38,GBP,2,GfK Consumer Confidence,-6,-7,-8,07/1/4 5:30,-1
39,GBP,1,MPC Member Blanchflower Speaks,,,,07/1/4 7:30,1
40,CAD,2,RMPI m/m,1.00%,-2.80%,0.90%,07/1/4 8:30,1
41,USD,3,ISM Services PMI,58,58.9,57.1,07/1/4 10:00,1
42,USD,1,Crude Oil Inventories,-2.0M,-8.1M,-1.3M,07/1/4 10:30,1
43,JPY,1,Monetary Base y/y,-23.50%,-22.30%,-20.00%,07/1/4 18:50,1
44,CHF,1,Foreign Currency Reserves,,46B,46B,07/1/5 3:00,1
45,EUR,1,Retail PMI,,53.7,52.1,07/1/5 4:00,1
